frequency_hz,reactance_ohm,true_glucose_mg_dl,source
100.0,26404.700000000004,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
102.745948544618,26186.28117647059,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
105.56729942333291,25967.862352941185,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
108.46612314544045,25749.443529411772,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
111.44454707535625,25531.02470588236,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
114.50475699382812,25312.605882352953,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
117.64899870201864,25094.187058823532,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
120.87957966963438,24875.76823529412,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
124.19887072831308,24657.349411764706,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
127.60930781150918,24438.9305882353,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
131.11339374215643,24220.511764705887,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
134.71370006941845,24002.092941176474,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
138.41286895587572,23783.674117647068,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
142.21361511653362,23565.255294117655,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
146.11872781107473,23346.83647058824,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
150.13107289081728,23128.417647058828,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
154.25359490188222,22909.998823529415,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
158.48931924611142,22691.58,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
162.841354401325,22473.16117647059,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
167.31289420254444,22254.742352941183,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
171.90722018585745,22036.32352941177,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
176.62770399664427,21817.904705882356,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
181.47780986393235,21599.485882352943,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
186.46109714269562,21381.067058823537,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
191.58122292596423,21162.648235294124,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
196.84194472866113,20944.22941176471,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
202.24712324513558,20725.810588235305,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
207.80072518241715,20507.39176470589,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
213.50682617126964,20288.97294117647,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
219.3696137571797,20070.554117647058,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
225.39339047347912,19852.135294117652,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
231.58257699885078,19633.71647058824,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
237.94171540153962,19415.297647058826,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
244.4754724726473,19196.87882352942,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
251.18864315095797,18978.460000000006,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
258.0861540418074,18760.041176470593,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
265.173067032579,18541.622352941187,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
272.4545830074793,18323.203529411767,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
279.93604566431827,18104.784705882354,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
287.6229454360988,17886.36588235294,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
295.52092352028876,17667.947058823534,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
303.63577601873584,17449.52823529412,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
311.9734581912619,17231.109411764708,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
320.54008882605933,17012.690588235302,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
329.3419547300958,16794.27176470589,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
338.38551534282334,16575.852941176476,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
347.67740747657774,16357.43411764707,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
357.22445018714643,16139.015294117657,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
367.03364977808,15920.596470588243,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
377.11220494241957,15702.17764705883,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
387.4675120456132,15483.758823529417,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
398.1071705534973,15265.340000000004,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
409.038988609331,15046.92117647059,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
420.27098876396917,14828.502352941185,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
431.81141386338504,14610.083529411771,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
443.6687330978611,14391.664705882358,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
455.851648217287,14173.245882352952,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
468.3690999171268,13954.82705882354,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
481.23027439974203,13736.408235294119,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
494.444610115883,13517.989411764705,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
508.0218046913023,13299.5705882353,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
521.9718220435652,13081.151764705886,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
536.3048996942866,12862.732941176473,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
551.0315562821569,12644.314117647067,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
566.1625992822727,12425.895294117654,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
581.7091329374358,12207.47647058824,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
597.6825664072413,11989.057647058828,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
614.0946221409365,11770.638823529422,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
630.957344480193,11552.220000000008,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
648.2831084981073,11333.801176470595,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
666.0846290809154,11115.38235294119,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
684.3749702590877,10896.963529411769,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
703.1675547946471,10678.544705882356,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
722.4761740317567,10460.125882352942,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
742.3149980177936,10241.707058823536,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
762.6985859023443,10023.288235294123,150.0,"Omprakash et al. 2020 TSIJ Table 2 (150 mg/dL, X=b+m*log10(f))"
